Amount of boids, FPS
752,90.7342
752,90.8793
752,91.1968
753,92.4257
753,90.8868
753,91.6943
754,92.4351
754,87.0261
754,88.75
755,90.3196
755,91.9371
755,84.8515
756,86.5778
756,90.052
756,84.6253
757,92.4727
757,91.8603
757,92.4582
758,91.6565
758,90.4429
758,86.6746
759,85.0709
759,91.7263
759,84.9668
760,92.4172
760,84.74
760,88.1383
761,87.6178
761,90.9902
761,85.9727
762,83.9306
762,89.6853
762,88.2519
763,88.2706
763,90.2258
763,90.7293
764,88.326
764,90.8026
764,90.138
765,90.3661
765,90.6413
765,90.043
766,86.7017
766,87.9987
766,86.1698
767,90.4748
767,91.3784
767,85.0687
768,82.4131
768,89.0329
768,90.6569
769,90.456
769,90.0601
769,90.9852
770,85.1361
770,88.4643
770,89.5488
771,86.5359
771,86.6296
771,88.2145
772,87.9794
772,85.6839
772,85.9158
773,86.986
773,86.355
773,82.4008
774,77.5873
774,88.6973
774,89.2387
775,78.6689
775,90.4715
775,90.8174
776,91.4428
776,90.4797
776,89.2363
777,89.1488
777,87.0822
777,88.9791
778,88.6548
778,89.3104
778,89.3679
779,88.5481
779,88.1438
779,89.544
780,81.9202
780,84.6088
780,87.4126
781,85.1484
781,84.4923
781,86.2552
782,86.9444
782,85.7567
782,85.3184
783,87.1186
783,88.1873
783,88.0762
784,87.6155
784,88.6101
784,89.4895
785,89.2833
785,89.0401
785,85.9793
786,79.7588
786,86.6551
786,87.1148
787,86.1148
787,77.1885
787,83.9137
788,88.2449
788,88.4431
788,87.7732
789,88.2356
789,86.3006
789,82.4239
790,81.5135
790,86.3126
790,88.817
791,89.6491
791,89.0972
791,84.047
792,84.5094
792,85.7971
792,87.6578
793,87.5718
793,88.4948
793,87.4019
794,81.3709
794,89.1417
794,86.9142
795,88.0817
795,88.1523
795,84.3611
796,83.2612
796,85.1259
796,87.4967
797,87.3843
797,85.3709
797,83.0137
798,76.4982
798,82.3771
798,82.605
799,83.9398
799,87.4868
799,87.1202
800,87.1642
800,86.0585
800,87.0731
801,85.3191
801,85.118
801,85.0854
802,86.8169
802,86.2731
802,86.3752
803,84.2737
803,86.2225
803,81.5681
804,78.246
804,85.8354
804,87.7755
805,86.6837
805,87.1217
805,86.6408
806,85.9697
806,85.789
806,84.943
807,85.9978
807,86.02
807,85.6773
808,86.6341
808,86.2322
808,86.3006
809,82.5212
809,82.1943
809,81.2592
810,85.5205
810,84.5109
810,84.29
811,84.5266
811,85.2173
811,85.8974
812,86.0815
812,85.6861
812,86.0674
813,86.2843
813,85.4599
813,85.0919
814,86.0756
814,84.6575
814,85.4248
815,85.6773
815,79.8091
815,84.0506
816,83.2799
816,81.8491
816,83.9821
817,83.4446
817,83.6463
817,84.5866
818,83.1815
818,83.9222
818,84.5502
819,83.1276
819,83.2841
819,85.2755
820,83.696
820,84.3249
820,85.1694
821,85.2966
821,80.2652
821,82.6829
822,83.0399
822,82.1018
822,83.9786
823,82.2754
823,83.2834
823,84.2588
824,84.8839
824,80.3671
824,81.0392
825,82.371
825,83.2535
825,84.1114
826,83.2861
826,83.248
826,79.6832
827,85.1861
827,80.6517
827,83.7304
828,82.8961
828,79.1872
828,83.7507
829,84.8176
829,84.4923
829,82.96
830,83.6736
830,83.1663
830,82.9483
831,83.7507
831,83.5087
831,83.4913
832,83.1559
832,83.3792
832,84.3455
833,84.4552
833,78.8581
833,82.6153
834,81.813
834,82.4362
834,83.9461
835,84.636
835,84.3334
835,84.3035
836,85.1919
836,83.2806
836,84.8248
837,84.2467
837,83.3139
837,83.0268
838,82.8226
838,84.3654
838,84.1737
839,80.0756
839,81.0951
839,82.7116
840,82.5443
840,83.2404
840,81.32
841,83.4801
841,82.4402
841,84.1971
842,81.8203
842,83.1532
842,81.8056
843,84.3341
843,82.3201
843,82.4165
844,82.6364
844,82.4735
844,79.406
845,76.0358
845,76.8049
845,77.1575
846,79.8072
846,81.2407
846,81.7361
847,78.5139
847,82.2193
847,81.7742
848,82.5042
848,82.3927
848,82.0425
849,79.3072
849,82.1254
849,81.2506
850,83.1435
850,81.9934
850,77.7732
851,78.4431
851,78.9135
851,79.5741
852,80.627
852,57.9103
852,69.1243
853,82.8782
853,82.1889
853,82.3093
854,82.2971
854,81.406
854,82.98
855,82.2565
855,83.0248
855,82.4226
856,78.8731
856,78.6349
856,79.2563
857,80.549
857,78.9092
857,80.6836
858,82.2362
858,80.7989
858,82.1916
859,80.8793
859,81.8592
859,82.2159
860,81.62
860,81.7347
860,81.7956
861,78.8389
861,79.5912
861,75.3653
862,76.5644
862,81.422
862,81.6233
863,82.1767
863,83.0206
863,82.2247
864,82.2166
864,79.6223
864,79.1145
865,82.1382
865,82.0291
865,81.0951
866,79.3449
866,81.7401
866,81.9659
867,76.9515
867,72.5758
867,80.1
868,82.0466
868,80.9913
868,80.8113
869,80.0493
869,81.0169
869,79.8116
870,81.242
870,80.7278
870,81.8887
871,81.2843
871,80.5815
871,81.8847
872,80.5659
872,78.842
872,77.9593
873,76.3854
873,78.9073
873,79.0483
874,79.1452
874,80.4117
874,79.6641
875,78.1659
875,76.0121
875,72.8497
876,74.5462
876,79.8129
876,80.2594
877,80.1166
877,79.0995
877,78.8271
878,80.159
878,76.5562
878,72.3694
879,79.6565
879,79.6883
879,78.8283
880,79.7995
880,79.8429
880,81.2698
881,81.5202
881,80.7402
881,77.6036
882,80.9631
882,81.5847
882,80.05
883,79.8971
883,77.9277
883,75.0976
884,73.5635
884,77.2248
884,76.1475
885,79.2117
885,79.072
885,79.1634
886,79.4306
886,78.9528
886,78.8302
887,78.0847
887,78.4406
887,78.6615
888,78.664
888,79.2092
888,78.9783
889,79.5526
889,74.5901
889,73.8569
890,76.7949
890,78.4486
890,77.063
891,76.3604
891,77.1557
891,78.7371
892,78.9054
892,77.5368
892,78.1146
893,77.6156
893,77.8047
893,78.2687
894,78.9291
894,78.5978
894,74.2815
895,74.0231
895,75.5179
895,77.0903
896,77.4419
896,78.5577
896,77.1528
897,77.3365
897,77.4539
897,76.9012
898,77.6615
898,73.9311
898,76.4801
899,76.7642
899,76.9704
899,76.929
900,75.7014
900,74.1488
900,76.5732
901,75.2961
901,78.6832
901,78.0658
902,75.8679
902,79.7722
902,77.4869
903,79.7563
903,79.7989
903,77.5242
904,78.8407
904,77.8119
904,78.8637
905,74.9558
905,72.6765
905,77.1974
906,78.2871
906,75.6825
906,75.8001
907,75.0931
907,77.1992
907,77.2941
908,78.9422
908,78.1293
908,73.767
909,76.9503
909,77.7158
909,78.6931
910,78.9185
910,73.2676
910,74.3854
911,77.6651
911,76.6942
911,77.5729
912,78.1488
912,76.7648
912,76.7925
913,76.5503
913,75.7777
913,77.0244
914,76.9989
914,77.4575
914,76.9012
915,76.9853
915,74.0966
915,72.1204
916,75.8259
916,71.2073
916,76.9462
917,75.7295
917,72.4443
917,75.8116
918,76.0584
918,76.0121
918,77.3694
919,76.3674
919,75.7025
919,76.6395
920,75.5818
920,74.6971
920,73.1021
921,72.1594
921,72.4349
921,77.1111
922,77.3814
922,77.3156
922,77.9867
923,78.1794
923,74.5334
923,72.9757
924,75.227
924,76.5011
924,77.2535
925,74.8542
925,72.3155
925,73.3417
926,72.2966
926,73.3068
926,75.5675
927,76.8746
927,76.2056
927,77.3114
928,76.3341
928,76.7124
928,76.7089
929,73.7632
929,76.3604
929,77.7176
930,78.1409
930,77.0446
930,73.2918
931,73.4047
931,73.7229
931,73.8836
932,76.8238
932,71.5712
932,71.2312
933,73.2172
933,73.4468
933,76.4105
934,76.2311
934,73.8302
934,75.0401
935,76.6589
935,77.0493
935,70.5736
936,72.1605
936,73.6198
936,76.6695
937,76.9586
937,76.3656
937,76.5152
938,74.6135
938,76.4187
938,76.6383
939,77.1593
939,72.3123
939,70.7579
940,75.8351
940,73.5202
940,72.0093
941,66.4046
941,73.192
941,74.3904
942,76.5374
942,70.8587
942,73.0946
943,72.5631
943,75.2989
943,74.8688
944,75.9774
944,74.7284
944,73.415
945,74.217
945,73.0092
945,71.4587
946,71.4556
946,73.6166
946,75.3494
947,74.5924
947,76.1806
947,76.5275
948,73.0722
948,75.8524
948,73.9919
949,72.7077
949,75.8317
949,75.5099
950,75.8512
950,75.0768
950,71.0646
951,67.1641
951,71.563
951,74.4768
952,74.9153
952,75.2298
952,75.9451
953,74.5473
953,73.6328
953,75.9198
954,76.1383
954,74.3417
954,75.507
955,74.2876
955,75.8409
955,72.3275
956,67.9076
956,68.8895
956,72.6385
957,69.7846
957,68.6412
957,69.9276
958,73.5391
958,73.4765
958,71.343
959,72.0949
959,72.6148
959,73.4177
960,73.5673
960,71.9005
960,68.604
961,69.9242
961,73.1235
961,72.5884
962,69.9188
962,68.9484
962,74.4701
963,72.8311
963,74.6408
963,72.6338
964,74.6899
964,75.0751
964,73.9847
965,74.9805
965,74.7485
965,69.1821
966,69.6253
966,71.4612
966,71.4801
967,72.5395
967,74.0132
967,74.4602
968,75.3432
968,74.4679
968,74.9631
969,73.4295
969,73.429
969,74.4746
970,74.9968
970,74.843
970,73.8078
971,70.1346
971,71.6271
971,72.2825
972,68.8335
972,74.5368
972,74.7379
973,72.49
973,73.9295
973,70.7469
974,70.3225
974,69.7194
974,66.0245
975,73.1518
975,72.48
975,73.0241
976,68.238
976,68.9004
976,70.5159
977,72.3736
977,73.5083
977,74.0472
978,74.5801
978,74.2269
978,71.4107
979,72.2632
979,70.1681
979,69.3784
980,68.4711
980,67.803
980,67.7346
981,63.5425
981,67.2961
981,67.4104
982,57.0067
982,67.129
982,69.0665
983,69.2626
983,67.9995
983,72.4092
984,73.2247
984,69.3097
984,72.4449
985,72.2277
985,69.1338
985,66.5464
986,70.8175
986,72.0134
986,73.6529
987,72.5147
987,71.9797
987,68.8596
988,74.1785
988,73.2934
988,73.1786
989,73.2542
989,73.7615
989,68.1343
990,71.6209
990,69.7404
990,68.8781
991,71.2616
991,72.0757
991,71.5968
992,72.4879
992,73.2815
992,72.6834
993,72.9373
993,73.1005
993,72.8162
994,68.6031
994,72.7543
994,72.1923
995,72.5653
995,70.1528
995,64.7836
996,66.9125
996,70.8818
996,72.0622
997,72.5174
997,69.8353
997,70.7754
998,70.9723
998,71.5302
998,71.4725
999,71.0197
999,70.9895
999,65.2005
1000,67.0044
1000,68.2631
1000,70.9099
1001,70.8496
1001,70.371
1001,71.0525
1002,72.5395
1002,71.788
1002,71.6784
1003,72.0861
1003,72.4485
1003,72.9421
1004,68.9256
1004,71.7473
1004,71.0944
1005,69.2674
1005,66.1695
1005,67.7397
1006,68.2068
1006,70.2765
1006,72.2893
1007,71.0268
1007,66.6413
1007,71.4643
1008,69.9222
1008,70.2958
1008,68.0777
1009,72.4197
1009,71.8453
1009,69.6728
1010,67.2048
1010,67.4636
1010,70.5482
1011,71.1207
1011,72.2319
1011,70.14
1012,72.4659
1012,72.3558
1012,72.9554
1013,71.2951
1013,72.1808
1013,72.1792
1014,73.0818
1014,70.4126
1014,67.8132
1015,70.3784
1015,69.4078
1015,69.219
1016,71.3776
1016,70.7434
1016,67.3555
1017,72.0887
1017,72.0456
1017,72.6623
1018,71.3114
1018,71.5471
1018,72.4097
1019,71.8525
1019,65.0068
